address,lat,long
"2710 S GLEBE RD, ARLINGTON, VA, 22206",38.844576200000006,-77.07849173203289
"7520 N Military Hwy, Norfolk, VA, 23518",36.9129846,-76.23535799900407
"8500 Tyco Rd, Vienna, VA, 22182",38.9317682,-77.2396681
"14408 NE 20th Street, Bellevue, WA, 98007",47.62947485,-122.14776697423292
"3701 20th St E, Fife, WA, 98424",47.23911026246565,-122.3799942779462
"1805 N PEPPER LN, Liberty Lake, WA, 99019",47.67216124019848,-117.11320106583312
"2200 6th Ave S, Seattle, WA, 98134",47.5832975,-122.32527937438442
"17731 Pacific Hwy, Lynnwood, WA, 98037",47.83794868257532,-122.30045805976695
"700 S GRADY WAY, RENTON, WA, 98057",47.4723819,-122.21120362409586
"2627 NE 46th Street, Seattle, WA, 98105",47.6616502,-122.2990343
"6916 NE Fourth Plain Blvd, Vancouver, WA, 98661",45.64565145,-122.60127064644811
"4301 W Wisconsin Ave, Grand Chute, WI, 54913",44.2694507,-88.46877838659572
"6624 Seybold Rd, Madison, WI, 53719",43.051863,-89.496777
"12011  W Silver Spring Dr, Milwaukee, WI, 53225",43.1164639,-88.062279795132
"15215 N. Kierland Blvd, Scottsdale, AZ, 85254",33.625206,-111.928608
"349 Huss Drive, Chico, CA, 95928",39.7065103,-121.8199227
"1901 1901 Del Monte Blvd Seaside CA 93955, Seaside, CA, 93955",36.6171496,-121.8438395
"660 STANFORD SHOPPING CTR STE 359B, PALO ALTO, CA, 94304",37.4434982,-122.1709939
"333 Santana Row Suite 1015, San Jose, CA, 95128",37.3222713,-121.9483331
"395 Santa Monica Place #120, Santa Monica, CA, 90401",34.0141707,-118.4935128
"14006 Riverside Dr. Space 78, Sherman Oaks, CA, 91423",34.1571414,-118.4373027
"3525 W Carson St. Space 419, Torrance, CA, 90503",33.8310336,-118.3497562
"1246 Broadway Plaza Suite 1094, Walnut Creek, CA, 94596",37.8963674,-122.0582572
"8401 Park Meadows Center Dr, Lone Tree, CO, 80124",39.5626568,-104.8764599
"19565 Biscayne Blvd #1948, Aventura, FL, 33180",25.9575543,-80.14288390000002
"16775 State Road 50., CLERMONT, FL, 34711",28.5477534,-81.6768506
